item,pc,npc,coord,categoria
Blood Tempering,Coordinator Approval,Coordinator Approval,Assamite,Assamite Combination Discipline for anyone
The Evil Eye,Coordinator Approval,Coordinator Approval,Ravnos,The Evil Eye
Spirit of the Wolf,Coordinator Approval,Unregulated,Ravnos,Spirit of the Wolf
The Sight,Coordinator Approval,Unregulated,Ravnos,The Sight
Draba,Coordinator Approval,Unregulated,Ravnos,Draba
Faerie Threads,Coordinator Approval,Unregulated,Ravnos,Faerie Threads
Patteran,Coordinator Approval,Unregulated,Ravnos,Patteran
Non Ravnos Vampires possessing more than one Affinity,Disallowed,Disallowed,Ravnos,Non Ravnos Vampires possessing more than one Affinity
Necromancy or Necromancy Variant based Regulated Combination Disciplines,Unregulated,Unregulated,Giovanni,Necromancy or Necromancy Variant based Regulated Combination Disciplines
Name the Fallen (Necromancy Version),Unregulated,Unregulated,Giovanni,Necromancy or Necromancy Variant based Regulated Combination Disciplines
Non-Giovanni Clan with Western Necromancy Combination Disciplines,Coordinator Approval,Unregulated,Giovanni,Non-Giovanni Clan with Western Necromancy Combination Disciplines
Charon's Oar,Coordinator Approval,Unregulated,Giovanni,Non-Giovanni Clan with Western Necromancy Combination Disciplines
Eyes of a Thousand Shades,Coordinator Approval,Unregulated,Giovanni,Non-Giovanni Clan with Western Necromancy Combination Disciplines
Sharing the Master's Vigor,Coordinator Approval,Unregulated,Giovanni,Non-Giovanni Clan with Western Necromancy Combination Disciplines
Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Aegis of Entropy,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Awaken the Slumbering Curse,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Bloodied Hands,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Clarity of Emptiness (Corpse in the Monster Variant),Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Effigy of the Sculpted Tomb,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Fountain of Ill Humors,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Leer of Hades,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Sutekh Fathers Anubis,Coordinator Approval,Unregulated,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis Necromancy Combination Disciplines
Non-Nagaraja with Eastern Necromancy Combination Disciplines,Coordinator Approval,Coordinator Approval,Giovanni,Non-Nagaraja with Eastern Necromancy Combination Disciplines
Soul Separation,Coordinator Approval,Coordinator Approval,Giovanni,Non-Nagaraja with Eastern Necromancy Combination Disciplines
Unseen Spirit,Coordinator Approval,Coordinator Approval,Giovanni,Non-Nagaraja with Eastern Necromancy Combination Disciplines
Non Ravnos Antitribu with the combination disciplines,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos Antitribu with the combination disciplines
Induce the Nightmare,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos Antitribu with the combination disciplines
The Illusionary Cup,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos Antitribu with the combination disciplines
Non-Jocastians with Jocastian Combination Disciplines,Coordinator Approval,Coordinator Approval,Malkavian,Non-Jocastians with Jocastian Combination Disciplines
Shroud of Ahriman,Coordinator Approval,Coordinator Approval,Malkavian,Non-Jocastians with Jocastian Combination Disciplines
The Nectar of Amaranth,Coordinator Approval,Coordinator Approval,Malkavian,Non-Jocastians with Jocastian Combination Disciplines
Hunt for History,Coordinator Approval,Coordinator Approval,Malkavian,Non-Jocastians with Jocastian Combination Disciplines
Non-Anarchs with Tenebrous Veil,Coordinator Approval,Coordinator Approval,Anarch,Non-Anarchs with Tenebrous Veil
Characters with in-clan Obtenebration Teaching each other Tenebrous Veil,Coordinator Approval,Coordinator Approval,Lasombra,Characters with in-clan Obtenebration Teaching each other Tenebrous Veil
Vicente de las Navas de Tolosa's Holy Shield,Coordinator Approval,Coordinator Approval,Lasombra,Vicente de las Navas de Tolosa's Holy Shield
"Followers of Set or their Bloodlines, Factions, or Initiates with V20 Dark Ages Serpentis",Coordinator Approval,Coordinator Notify,Setite,"Followers of Set or their Bloodlines, Factions, or Initiates with V20 Dark Ages Serpentis"
"Non-Followers of Set or their Bloodlines, Factions, or Initiates with V20 Dark Ages Serpentis",Coordinator Approval,Coordinator Approval,Setite,"Non-Followers of Set or their Bloodlines, Factions, or Initiates with V20 Dark Ages Serpentis"
Gargoyle Rituals,Coordinator Approval,Coordinator Approval,Tremere,Gargoyle Rituals
Gargoyle Rituals as Powers,Coordinator Approval,Coordinator Approval,Tremere,Gargoyle Rituals as Powers
Gargoyle Combination Disciplines using Protean,Coordinator Approval,Coordinator Approval,Tremere and Gangrel,Gargoyle Combination Disciplines using Protean
Dark Ages Obtenebration,Coordinator Approval,Unregulated,Lasombra,Dark Ages Obtenebration
Second Edition Mytherceria,Coordinator Approval,Unregulated,Lasombra,Second Edition Mytherceria
Combination Discipline: Typhonic Beast,Varies,Coordinator Approval,Setite,Combination Discipline: Typhonic Beast
"Follower of Set, Warrior Bloodline",Coordinator Notify,Unregulated,Setite,"Follower of Set, Warrior Bloodline"
"Follower of Set, Warrior Caste",Coordinator Notify,Coordinator Notify,Setite,"Follower of Set, Warrior Caste"
This includes Converts and Initiates who join the Warrior Caste,Coordinator Notify,Coordinator Notify,Setite,"Follower of Set, Warrior Caste"
Follower of Set (regardless of Bloodline) who is not Warrior Bloodline or Caste,Coordinator Approval,,Setite,Follower of Set (regardless of Bloodline) who is not Warrior Bloodline or Caste
Non-Follower of Set or Follower of Set Bloodline,Disallowed,Disallowed,Setite,Non-Follower of Set or Follower of Set Bloodline
Sorcerous Suppression: The Broken Rung,Disallowed,Disallowed,,Sorcerous Suppression: The Broken Rung
Combination Discipline: Untamable,Disallowed,Disallowed,,Combination Discipline: Untamable
Obliterate the Night's Gifts,Disallowed,Disallowed,,Obliterate the Night's Gifts
Tremere Combination Disciplines requiring approval,Coordinator Approval,Coordinator Approval,Tremere,Tremere Combination Disciplines requiring approval
Drink the Mind (Tremere Version),Coordinator Approval,Coordinator Approval,Tremere,Tremere Combination Disciplines requiring approval
Scent of Caine (Tremere Version),Coordinator Approval,Coordinator Approval,Tremere,Tremere Combination Disciplines requiring approval
Spectral Puppeteer,Coordinator Approval,Coordinator Approval,Tremere,Tremere Combination Disciplines requiring approval
Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Armory of the Abyss,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Armor of Darkness,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Clarity of Emptiness (Obtenebration Variant),Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Dark Steel,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Eminence of Shade,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Gazing into the Abyss,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Shadowed Eyes,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Shadow Looking Glass,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
Shroud of Absence,Coordinator Approval,Unregulated,Lasombra,Obtenebration based Combination Disciplines possessed by Characters without in-clan Obtenebration
I Drink and I Know Things Combination Discipline,Disallowed,Disallowed,,I Drink and I Know Things Combination Discipline
Combination Discipline Ghost Song,Varies,Unregulated,Gangrel,Combination Discipline Ghost Song
Ghost Singer Gangrel,Unregulated,Unregulated,Gangrel,Ghost Singer Gangrel
Non-Ghost Singer Gangrel,Coordinator Notify,Unregulated,Gangrel,Non-Ghost Singer Gangrel
Non-Gangrel,Disallowed,Unregulated,Gangrel,Non-Gangrel
Honey Badger Combination Discipline,Disallowed,Disallowed,,Honey Badger Combination Discipline
Bring Them Back Combination Discipline,Disallowed,Disallowed,,Bring Them Back Combination Discipline
"Tellurian, Unique Discipline of Yaryan",Disallowed,Disallowed,Brujah,"Tellurian, Unique Discipline of Yaryan"
Exemption- Yaryan Brujah Canon NPC,Disallowed,Disallowed,Brujah,"Tellurian, Unique Discipline of Yaryan"
Maleficia,Disallowed,Coordinator Approval,Demon,Maleficia
Striga,Disallowed,Coordinator Approval,Demon,Striga
Non-Camarilla with Camarilla Combination Disciplines,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
The Iron Glare - Camarilla and Brujah,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Catch a Whiff of Madness - Camarilla and Malkavian,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Phobic Affliction - Camarilla and Malkavian,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Animal Magnetism - Camarilla and Nosferatu,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Scalpel Tongue - Camarilla and Toreador,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Under the Skin - Camarilla and Toreador,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Mood Shift - Camarilla and Tremere,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Distant Friend - Camarilla and Ventrue,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Approximation of Loyalty Absolute - Camarilla and Ventrue,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
Alpha Glint - Camarilla and Gangrel,Coordinator Approval,Coordinator Approval,Various,Non-Camarilla with Camarilla Combination Disciplines
"Creation of an Inceptor Discipline by a 14th, 15th, or 16th Generation character",Coordinator Approval,Unregulated,Anarch,"Creation of an Inceptor Discipline by a 14th, 15th, or 16th Generation character"
Creation of an Inceptor Discipline by a 13th Generation or lower character,Disallowed,Disallowed,Anarch,Creation of an Inceptor Discipline by a 13th Generation or lower character
Custom Combination Discipline using an Inceptor Discipline,Coordinator Approval,Unregulated,Anarch,Custom Combination Discipline using an Inceptor Discipline
Learning a created Inceptor Discipline,Coordinator Approval,Unregulated,Anarch,Learning a created Inceptor Discipline
Discipline Path of Enchantment,Disallowed,Disallowed,Ventrue,Discipline Path of Enchantment
Non-Samedi with Samedi Combination Disciplines,Coordinator Approval,Coordinator Approval,Giovanni,Non-Samedi with Samedi Combination Disciplines
Exquisite Corpse,Coordinator Approval,Coordinator Approval,Giovanni,Non-Samedi with Samedi Combination Disciplines
Grisly Gris-Gris,Coordinator Approval,Coordinator Approval,Giovanni,Non-Samedi with Samedi Combination Disciplines
Switched at Death,Coordinator Approval,Coordinator Approval,Giovanni,Non-Samedi with Samedi Combination Disciplines
Non-Sabbat Inquisition with Sabbat Inquisition Combination Disciplines,Disallowed,Disallowed,Sabbat,Non-Sabbat Inquisition with Sabbat Inquisition Combination Disciplines
Animus Ligature,Disallowed,Disallowed,Sabbat,Non-Sabbat Inquisition with Sabbat Inquisition Combination Disciplines
Non-Gangrel with Gangrel Combination Disciplines,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Blood Thorns,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Revoke the Gift of Adam,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Sanguinary Expulsion(Protean variant only),Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Shatterproof,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Shattered Fog,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Spirit Tracking,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Steal the Terrible Swiftness,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Stone Meld,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Wintering,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Gangrel Combination Disciplines
Rite of Becoming for Disciples of Anubis,Coordinator Approval,Coordinator Approval,Gangrel,Rite of Becoming for Disciples of Anubis
Rite of Becoming for non-Disciples of Anubis,Disallowed,Disallowed,Gangrel,Rite of Becoming for non-Disciples of Anubis
Anarch Curses,Varies,Varies,Anarch Coordinator,Anarch Curses
Non-Anarch,Disallowed,Disallowed,Anarch,Non-Anarch
Anarch,Coordinator Approval,Coordinator Approval,Anarch,Anarch
You See Dead People,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Invoke Ashur,Coordinator Approval,Coordinator Approval,Anarch,Anarch
A Graceless Bane,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Selective Hypersensitivity,Coordinator Approval,Coordinator Approval,Anarch,Anarch
The Beaten Path,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Vermin's Blood,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Potent Odium,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Hands of the Fool,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Death Wrath,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Scar of Judas,Coordinator Approval,Coordinator Approval,Anarch,Anarch
A Curse Upon Thy House,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Mark of the Beast,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Caustic Are The Ties That Bind,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Reclaim That Which Was Taken,Coordinator Approval,Coordinator Approval,Anarch,Anarch
A World So Cold,Coordinator Approval,Coordinator Approval,Anarch,Anarch
The Flesh Betrays,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Vermin's Vengeance,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Retribution of the Threefold Chimera,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Any Custom Anarch Curses,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Anarch Poisons,Varies,Varies,Anarch,Anarch Poisons
Non-Anarch,Disallowed,Disallowed,Anarch,Non-Anarch
Anarch,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Spit it Out,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Ugly on the Outside,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Frenzy Pox,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Grill Marks,Coordinator Approval,Coordinator Approval,Anarch,Anarch
STFU,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Zoomies,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Jock itch,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Nighty Night,Coordinator Approval,Coordinator Approval,Anarch,Anarch
All Shook Up,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Lead Sails,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Pillow Hands,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Creeping Death,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Antithesis,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Blade Clot,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Now You See Me,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Any Custom Anarch Poisons,Coordinator Approval,Coordinator Approval,Anarch,Anarch
Plot-related Dementation Powers,Coordinator Notify,Coordinator Notify,Malkavian,Plot-related Dementation Powers
I Opt In,Coordinator Notify,Coordinator Notify,Malkavian,Plot-related Dementation Powers
Feel Our Feelings,Coordinator Notify,Coordinator Notify,Malkavian,Plot-related Dementation Powers
Non Members of the Phaedymites possessing the Combination Power Disgust for those in Control,Disallowed,Disallowed,Ravnos,Non Members of the Phaedymites possessing the Combination Power Disgust for those in Control
Non Members of Khalil's Court possessing the combination power Stolen Dreams,Disallowed,Disallowed,Ravnos,Non Members of Khalil's Court possessing the combination power Stolen Dreams
Non Members of Khalil's Court possessing the Ritae Shared Nightmare,Disallowed,Disallowed,Ravnos,Non Members of Khalil's Court possessing the Ritae Shared Nightmare
Non Members of The Bashirites possessing the Ritae Judas' Revelry,Disallowed,Disallowed,Ravnos,Non Members of The Bashirites possessing the Ritae Judas' Revelry
Non Members of The Bashirites possessing the combination power Bashir's Lesson,Disallowed,Disallowed,Ravnos,Non Members of The Bashirites possessing the combination power Bashir's Lesson
New Age Anarch Sorcery,Coordinator Approval,Coordinator Approval,Anarch,New Age Anarch Sorcery
Old Skool Anarch Sorcery,Coordinator Approval,Coordinator Approval,Anarch,Old Skool Anarch Sorcery
Punk Anarch Sorcery,Coordinator Approval,Coordinator Approval,Anarch,Punk Anarch Sorcery
Hacktivism Anarch Sorcery (Anarch and Tremere Coordinator Approval),Coordinator Approval,Coordinator Approval,Anarch,Hacktivism Anarch Sorcery (Anarch and Tremere Coordinator Approval)
Hacking Rituals,Coordinator Approval,Coordinator Approval,Anarch and Originating Paradigm Coordinator,Hacking Rituals
Bacaban/Judicium Thaumaturgy,Coordinator Approval,Coordinator Approval,Sabbat,Bacaban/Judicium Thaumaturgy
Black Hand Aljusuri,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand Aljusuri
Sabbat Inquisition Only Rituals,Coordinator Approval,Coordinator Approval,Sabbat,Sabbat Inquisition Only Rituals
Non-Assamite Sorcerers with Assamite Sorcery / Dur-An-Ki,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamite Sorcerers with Assamite Sorcery / Dur-An-Ki
Successfully Achieving the Gate of Apotheosis or The Apex on The Ladder of Heaven,Disallowed,Coordinator Approval,Assamite,Successfully Achieving the Gate of Apotheosis or The Apex on The Ladder of Heaven
Dur-An-Ki Practitioner gaining the mechanical benefits of dedicating to a Pantheon listed in the Ladder of Heaven packet,Coordinator Notify,Unregulated,Assamite,Dur-An-Ki Practitioner gaining the mechanical benefits of dedicating to a Pantheon listed in the Ladder of Heaven packet
Sihr,Coordinator Approval,Coordinator Approval,Assamite,Sihr
Non-Giovanni with Western Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Giovanni with Western Necromancy
Abyss Mysticism,Coordinator Approval,Coordinator Approval,Lasombra,Abyss Mysticism
Player Created Abyss Mysticism Rituals,Coordinator Approval,Coordinator Approval,Lasombra,Player Created Abyss Mysticism Rituals
Ravnos Ratka-Sadhus / Sadhana,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Ratka-Sadhus / Sadhana
Non-Setite with Akhu (Setite),Coordinator Approval,Coordinator Approval,Setite,Non-Setite with Akhu (Setite)
Non-Children of Damballah/Serpent of the Light/Lasombra Wangateurs/Brujah Santos/Samedi with Wanga or Afro-Carribean Sorcery,Coordinator Approval,Coordinator Approval,Setite,Non-Children of Damballah/Serpent of the Light/Lasombra Wangateurs/Brujah Santos/Samedi with Wanga or Afro-Carribean Sorcery
Non-Tlacique with Nahuallotl (Setite),Coordinator Approval,Coordinator Approval,Setite,Non-Tlacique with Nahuallotl (Setite)
Any Other Unlisted Setite Sorcery Paradigm,Coordinator Approval,Coordinator Approval,Setite,Any Other Unlisted Setite Sorcery Paradigm
Seidr,Coordinator Approval,Coordinator Approval,Setite,Seidr
Cult of Mithras Dur-An-Ki,Coordinator Approval,Coordinator Approval,Ventrue and Assamite,Cult of Mithras Dur-An-Ki
"Non-Daiyta, Danava, Rakta Radhu Ravnos, or Buryat with Sadhana (Ravnos)",Coordinator Approval,Coordinator Approval,Ravnos,"Non-Daiyta, Danava, Rakta Radhu Ravnos, or Buryat with Sadhana (Ravnos)"
"Path of Karma, and Path of Tengri",Disallowed,Disallowed,Ravnos,"The ability to use the following Sadhana paths and rituals, regardless of paradigm or source, without the Merit: Code of Honor in the most recent Ravnos packet that is required to have/use Sadhana"
Teaching Paths of Sadhana without Sadhana In-Clan,Disallowed,Disallowed,"Non-Daiyta, Danava, Rakta Radhu Ravnos, or Buryat with Sadhana (Ravnos) - PC",Teaching Paths of Sadhana without Sadhana In-Clan
Pillars of Dracian,Coordinator Approval,Coordinator Approval,Ravnos,Pillars of Dracian
Teaching paths of Pillars of Dracian without Pillars of Dracian In-Clan,Disallowed,Disallowed,Pillars of Dracian - PC,Teaching paths of Pillars of Dracian without Pillars of Dracian In-Clan
Non-Tremere with Hermetic Thaumaturgy,Coordinator Approval,Coordinator Approval,Tremere,Non-Tremere with Hermetic Thaumaturgy
Learning Hermetic Thaumaturgy Rituals,Coordinator Approval,Coordinator Approval,Tremere,Learning Hermetic Thaumaturgy Rituals
Sielanic Thaumaturgy,Coordinator Approval,Coordinator Approval,Tremere,Sielanic Thaumaturgy
Tremere with Dark Thaumaturgy,Disallowed,Coordinator Approval,Tremere,Tremere with Dark Thaumaturgy
Mastery Ways (Tzimisce),Coordinator Approval,Coordinator Approval,Tzimisce,Mastery Ways (Tzimisce)
Non-Koldunist Tzimisce with Koldunism (Tzimisce),Coordinator Approval,Coordinator Approval,Tzimisce,Non-Koldunist Tzimisce with Koldunism (Tzimisce)
Inconnu Thaumaturgy,Coordinator Approval,Coordinator Approval,Camarilla,Inconnu Thaumaturgy
Non-Ghiberti/Impundulu/Mla Watu with African Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Ghiberti/Impundulu/Mla Watu with African Necromancy
Non-Pisanob with Aztec Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Pisanob with Aztec Necromancy
Non-Nagaraja/Katila Revenant with Eastern Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Nagaraja/Katila Revenant with Eastern Necromancy
Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis,Coordinator Approval,Coordinator Approval,Giovanni,Non-Harbingers of Skulls/Cappadocians/Lamia/Drakaina/Lilim with Mortis
Any Other Unlisted Necromancy Paradigm,Coordinator Approval,Coordinator Approval,Giovanni,Any Other Unlisted Necromancy Paradigm
Biblical Necromancy does not count as its own Paradigm,Coordinator Approval,Coordinator Approval,Giovanni,Any Other Unlisted Necromancy Paradigm
Non-Samedi/Children of Damballah/Serpent of the Light/Lasombra Wangateurs/Brujah Santos with Voudoun Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Samedi/Children of Damballah/Serpent of the Light/Lasombra Wangateurs/Brujah Santos with Voudoun Necromancy
Non-Giovanni with Western Necromancy,Coordinator Approval,Coordinator Approval,Giovanni,Non-Giovanni with Western Necromancy
Dark Thaumaturgy,Disallowed,Coordinator Approval,Demon,Dark Thaumaturgy
Geomancy,Coordinator Approval,Coordinator Approval,Ravnos,Geomancy
Teaching paths of Geomancy without Geomancy In-Clan,Disallowed,Disallowed,Geomancy - PC,Teaching paths of Geomancy without Geomancy In-Clan
Printed paradigms of blood magic that do not have their own specific regulation,Coordinator Approval,Coordinator Approval,Tremere,Printed paradigms of blood magic that do not have their own specific regulation
Necromancy Ritual: Rape of Persephone,Disallowed,Disallowed,Giovanni,Necromancy Ritual: Rape of Persephone
Use of Path of Skulls: Degulo,Coordinator Approval,Coordinator Approval,Giovanni and Appropriate Coordinator(s),Use of Path of Skulls: Degulo
"Benefitting from a single casting of the Necromancy Ritual, Lazarus Rises",Coordinator Approval,Coordinator Approval,Giovanni,"Benefitting from a single casting of the Necromancy Ritual, Lazarus Rises"
Asymmetrical Reproduction,Disallowed,Coordinator Approval,Tremere,Asymmetrical Reproduction
The Dragon Path,Disallowed,Coordinator Approval,Giovanni,The Dragon Path
Path of Israfil,Disallowed,Coordinator Approval,Giovanni,Path of Israfil
Vampires of 6th Generation or better,Disallowed,Coordinator Approval,"Appropriate Clan Coordinator. In cases of a Clanless character, Sect Coordinator.",Vampires of 6th Generation or better
Sect Defector,Coordinator Approval,Coordinator Approval,Appropriate Sects Genre Coordinator and Clan Coordinator,Sect Defector
Non-Kuei-Jin vampire becoming Human,Majority Vote,Coordinator Notify,Varies,Non-Kuei-Jin vampire becoming Human
Non Kuei-Jin Vampires changing Clan/Bloodline,Majority Vote,Coordinator Notify,Varies,Non Kuei-Jin Vampires changing Clan/Bloodline
Non-Giovanni adopted into Clan Giovanni,Coordinator Approval,Coordinator Approval,Giovanni,Non-Giovanni adopted into Clan Giovanni
Malkavian Death Screams,Coordinator Approval,Coordinator Approval,Malkavian,Malkavian Death Screams
PC Malkavian to NPC Disembodied Mentor,Coordinator Approval,Coordinator Approval,Malkavian,PC Malkavian to NPC Disembodied Mentor
Any PC that permanently uploads to the Malkavian Madness Network upon Death,Coordinator Approval,Coordinator Approval,Malkavian,PC Malkavian to NPC Disembodied Mentor
Einherjar,Coordinator Approval,Coordinator Approval,Gangrel,Einherjar
Neo-Einherjar,Coordinator Notify,Coordinator Notify,Gangrel,Neo-Einherjar
Ashirra,Coordinator Approval,Coordinator Approval,Camarilla,Ashirra
Characters belonging to the Middle-East based Sect,Coordinator Approval,Coordinator Approval,Camarilla,Ashirra
Inconnu,Coordinator Approval,Coordinator Approval,Camarilla,Inconnu
Characters belonging to the secretive sect,Coordinator Approval,Coordinator Approval,Camarilla,Inconnu
Dracian's Lineage Background,Coordinator Approval,Coordinator Approval,Ravnos,Dracian's Lineage Background
Draba Background 4 and 5,Coordinator Approval,Coordinator Approval,Ravnos,Draba Background 4 and 5
Background: Wave Mentor 1 - 5,Coordinator Approval,Coordinator Approval,Anarch,Background: Wave Mentor 1 - 5
Available to Anarchs with Anarch Magic only,Coordinator Approval,Coordinator Approval,Anarch,Background: Wave Mentor 1 - 5
Curing Asakku,Disallowed,Disallowed,Tzimisce,Curing Asakku
Asakku and the Path of Asakku,Disallowed,Coordinator Approval,Tzimisce,Asakku and the Path of Asakku
Non-Schismatic Assamite Viziers with the Web of Influence Background,Coordinator Approval,Coordinator Approval,Assamite,Non-Schismatic Assamite Viziers with the Web of Influence Background
Schismatic Assamite Viziers with the Web of Influence Background higher than their rank in the Schism,Coordinator Approval,Coordinator Approval,Assamite,Schismatic Assamite Viziers with the Web of Influence Background higher than their rank in the Schism
Non-Schismatic Assamite Warriors with the Web of Iron Background,Coordinator Approval,Coordinator Approval,Assamite,Non-Schismatic Assamite Warriors with the Web of Iron Background
Schismatic Assamite Warriors with the Web of Iron Background higher than their rank in the Schism,Coordinator Approval,Coordinator Approval,Assamite,Schismatic Assamite Warriors with the Web of Iron Background higher than their rank in the Schism
Non-Tremere recognized as swearing the Oath and holding rank in the Pyramid (aka: joining House Tremere),Coordinator Approval,Coordinator Approval,Tremere,Non-Tremere recognized as swearing the Oath and holding rank in the Pyramid (aka: joining House Tremere)
